Year,Entity,Life expectancy
1938,France,58.970001
1939,France,59.619999
1940,France,49.450001
1941,France,57.669998
1942,France,57.439999
1943,France,53.330002
1944,France,47.189999
1945,France,54.959999
1946,France,62.380001
1947,France,63.98
1948,France,65.830002
1949,France,64.919998
1950,France,66.389999
1951,France,66.120003
1952,France,67.410004
1953,France,67.339996
1954,France,68.209999
1955,France,68.470001
1956,France,68.5
1957,France,68.93
1958,France,70.160004
1959,France,70.190002
1960,France,70.400002
1961,France,70.980003
1962,France,70.510002
1963,France,70.360001
1964,France,71.32
1965,France,71.150002
1966,France,71.559998
1967,France,71.550003
1968,France,71.540001
1969,France,71.269997
1970,France,72.160004
1971,France,72.129997
1972,France,72.379997
1973,France,72.540001
1974,France,72.889999
1975,France,72.980003
1976,France,73.220001
1977,France,73.830002
1978,France,73.949997
1979,France,74.260002
1980,France,74.349998
1981,France,74.510002
1982,France,74.889999
1983,France,74.870003
1984,France,75.370003
1985,France,75.470001
1986,France,75.75
1987,France,76.339996
1988,France,76.57
1989,France,76.690002
1990,France,77.160004
1991,France,77.349998
1992,France,77.57
1993,France,77.739998
1994,France,77.949997
1995,France,78.120003
1996,France,78.330002
1997,France,78.650002
1998,France,78.769997
1999,France,78.919998
2000,France,79.120003
2001,France,79.349998
2002,France,79.589996
2003,France,79.769997
2004,France,80.150002
2005,France,80.400002
2006,France,80.669998
2007,France,80.910004
2008,France,81.080002
2009,France,81.290001
2010,France,81.480003
2011,France,81.709999
2012,France,81.839996
2013,France,82.010002
2014,France,82.220001
2015,France,82.269997
2016,France,82.339996
1800,Germany,38.369999
1801,Germany,38.369999
1802,Germany,38.369999
1803,Germany,38.369999
1804,Germany,38.369999
1805,Germany,38.369999
1806,Germany,38.369999
1807,Germany,38.369999
1808,Germany,38.369999
1809,Germany,38.369999
1810,Germany,38.369999
1811,Germany,38.369999
1812,Germany,38.369999
1813,Germany,38.369999
1814,Germany,38.369999
1815,Germany,38.369999
1816,Germany,38.369999
1817,Germany,38.369999
1818,Germany,38.369999
1819,Germany,38.369999
1820,Germany,38.369999
1821,Germany,38.369999
1822,Germany,38.369999
1823,Germany,38.369999
1824,Germany,38.369999
1825,Germany,38.369999
1826,Germany,38.369999
1827,Germany,38.369999
1828,Germany,38.369999
1829,Germany,38.369999
1830,Germany,38.369999
1831,Germany,38.369999
1832,Germany,38.369999
1833,Germany,38.369999
1834,Germany,38.369999
1835,Germany,38.369999
1836,Germany,38.369999
1837,Germany,38.369999
1838,Germany,38.369999
1839,Germany,38.369999
1840,Germany,38.369999
1841,Germany,38.369999
1842,Germany,38.369999
1843,Germany,38.369999
1844,Germany,38.369999
1845,Germany,38.369999
1846,Germany,38.369999
1847,Germany,38.369999
1848,Germany,38.369999
1849,Germany,38.369999
1850,Germany,38.369999
1851,Germany,38.369999
1852,Germany,38.369999
1853,Germany,38.369999
1854,Germany,38.369999
1855,Germany,38.369999
1856,Germany,38.369999
1857,Germany,38.369999
1858,Germany,38.369999
1859,Germany,38.369999
1860,Germany,38.369999
1861,Germany,38.369999
1862,Germany,38.369999
1863,Germany,38.369999
1864,Germany,38.369999
1865,Germany,38.369999
1866,Germany,38.369999
1867,Germany,38.369999
1868,Germany,38.369999
1869,Germany,38.369999
1870,Germany,38.369999
1871,Germany,38.369999
1872,Germany,38.369999
1873,Germany,38.369999
1874,Germany,38.369999
1875,Germany,38.369999
1876,Germany,38.477001
1877,Germany,38.584
1878,Germany,38.691002
1879,Germany,38.798
1880,Germany,38.904999
1881,Germany,39.012001
1882,Germany,39.118999
1883,Germany,39.226002
1884,Germany,39.333
1885,Germany,39.439999
1886,Germany,39.734001
1887,Germany,40.028
1888,Germany,40.321999
1889,Germany,40.616001
1890,Germany,40.91
1891,Germany,41.203999
1892,Germany,41.498001
1893,Germany,41.792
1894,Germany,42.085999
1895,Germany,42.380001
1896,Germany,42.687
1897,Germany,42.993999
1898,Germany,43.300999
1899,Germany,43.608002
1900,Germany,43.915001
1901,Germany,44.222
1902,Germany,44.528999
1903,Germany,44.835999
1904,Germany,45.143002
1905,Germany,45.450001
1906,Germany,46.041668
1907,Germany,46.633335
1908,Germany,47.224998
1909,Germany,47.816666
1910,Germany,48.408333
1911,Germany,49
1912,Germany,49.591667
1913,Germany,50.183334
1914,Germany,46.176483
1915,Germany,40.525562
1916,Germany,38.988819
1917,Germany,40.080376
1918,Germany,32.936821
1919,Germany,48.32066
1920,Germany,53.5
1921,Germany,55.014286
1922,Germany,55.615715
1923,Germany,56.217144
1924,Germany,56.818573
1925,Germany,57.419998
1926,Germany,57.827999
1927,Germany,58.236
1928,Germany,58.644001
1929,Germany,59.051998
